year,treaties,agreements
1930,25,11
1931,13,14
1932,1,16
1933,9,11
1934,14,16
1935,25,10
1936,8,16
1937,15,10
1938,12,24
1939,10,26
1940,12,20
1941,15,39
1942,6,52
1943,4,71
1944,1,74
1945,6,54
1946,19,139
1947,15,144
1948,16,178
1949,22,148
1950,11,157
1951,21,213
1952,22,291
1953,14,163
1954,17,206
1955,7,297
1956,15,233
1957,9,222
1958,10,197
1959,12,250
1960,5,266
1961,9,260
1962,10,319
1963,17,234
1964,3,222
1965,14,204
1966,14,237
1967,18,223
1968,18,197
1969,6,162
1970,20,183
1971,17,214
1972,20,287
1973,17,241
1974,13,229
1975,13,264
1976,13,402
1977,17,424
1978,15,417
1979,28,378
1980,26,321
1981,12,322
1982,17,343
1983,23,282
1984,15,336
1985,8,336
1986,17,400
1987,12,434
1988,21,387
1989,15,363
1990,20,398
1991,11,286
1992,21,303
1993,17,257
1994,24,338
1995,17,300
1996,48,260
1997,40,257
1998,25,259
1999,26,199
